iter	RMSE
0	786.136732
1	437.3554889
2	254.6344884
3	161.8784781
4	118.1883209
5	99.92346122
6	90.19278105
7	86.12759816
8	81.92248057
9	78.88918128
10	76.54804845
11	74.045551
12	72.90093445
13	71.26350824
14	69.52515733
15	67.71574927
16	66.2824179
17	65.7906033
18	65.1031996
19	64.29537134
20	63.42072257
21	62.9716796
22	61.36532046
23	60.52777603
24	60.20711157
25	59.5576901
26	58.45120891
27	57.80103248
28	57.36664362
29	57.20480365
30	56.7935043
31	56.52823479
32	56.22865498
33	55.60354131
34	55.45452429
35	55.03508638
36	54.8950316
37	54.68127772
38	54.4414334
39	54.27046583
40	54.14610286
41	53.99847538
42	53.90699745
43	53.69190728
44	53.62982052
45	53.50604044
46	53.43947321
47	53.36943367
48	53.31511691
49	53.17552709
50	53.02584023
51	52.97684042
52	52.92347735
53	52.85799889
54	52.81100053
55	52.77992883
56	52.75305647
57	52.71475906
58	52.63856021
59	52.58543399
60	52.48514792
61	52.36514097
62	52.31326515
63	52.2399826
64	52.21034526
65	52.17153193
66	52.14244157
67	52.11390968
68	52.05395384
69	52.01136167
70	51.98560432
71	51.94742116
72	51.91627364
73	51.87397064
74	51.83523102
75	51.78625015
76	51.74292157
77	51.71189041
78	51.65415593
79	51.61924332
80	51.56712717
81	51.52603899
82	51.49320012
83	51.41887898
84	51.38594349
85	51.35037208
86	51.31932054
87	51.28468218
88	51.25699007
89	51.21597853
90	51.18914285
91	51.16896697
92	51.14438365
93	51.12236171
94	51.09900749
95	51.0736415
96	51.04593069
97	51.02296036
98	51.00112354
99	50.96757042
