iter	Passed	Remaining
0	61	6102
1	64	3139
2	66	2148
3	69	1660
4	71	1360
5	74	1164
6	77	1034
7	81	932
8	84	855
9	88	796
10	93	756
11	97	711
12	100	670
13	103	632
14	105	596
15	108	571
16	111	545
17	114	520
18	116	498
19	119	478
20	122	459
21	125	445
22	128	429
23	131	415
24	133	400
25	136	387
26	138	374
27	142	366
28	145	355
29	147	343
30	150	334
31	152	323
32	155	315
33	158	307
34	160	298
35	163	290
36	166	283
37	168	275
38	171	268
39	174	261
40	176	254
41	179	247
42	181	240
43	184	234
44	186	227
45	188	221
46	190	215
47	193	209
48	196	204
49	200	200
50	207	199
51	218	201
52	223	197
53	226	192
54	229	187
55	232	183
56	235	177
57	240	173
58	244	170
59	250	167
60	257	164
61	263	161
62	267	156
63	270	151
64	272	146
65	275	141
66	277	136
67	279	131
68	282	126
69	284	121
70	287	117
71	290	112
72	292	108
73	294	103
74	297	99
75	299	94
76	302	90
77	305	86
78	308	81
79	311	77
80	314	73
81	316	69
82	320	65
83	323	61
84	326	57
85	329	53
86	331	49
87	335	45
88	339	41
89	342	38
90	346	34
91	349	30
92	353	26
93	356	22
94	360	18
95	363	15
96	366	11
97	370	7
98	374	3
99	378	0
